day_of_year,day_of_week,is_holiday,avg_temp,precip,cloud,humidity,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
1,5,0,1.4,0.7,0.39,0.69,0.462,0.45,0.451,0.488,0.468,0.489,0.699,0.719,0.725,0.7,0.584,0.584,0.58,0.608,0.555,0.601,0.59,0.757,0.76,0.762,0.766,0.56,0.494,0.544
2,6,1,2.0,0.5,0.56,0.72,0.348,0.315,0.301,0.343,0.353,0.321,0.51,0.483,0.495,0.497,0.396,0.384,0.43,0.403,0.4,0.423,0.405,0.526,0.557,0.511,0.553,0.391,0.388,0.384
3,7,1,1.6,1.9,0.85,0.64,0.374,0.351,0.331,0.331,0.347,0.342,0.552,0.498,0.554,0.512,0.399,0.419,0.423,0.41,0.453,0.444,0.427,0.555,0.568,0.579,0.56,0.382,0.396,0.387
4,1,0,-2.3,0.2,0.21,0.56,0.272,0.27,0.228,0.28,0.248,0.274,0.389,0.341,0.42,0.353,0.301,0.339,0.291,0.277,0.312,0.329,0.317,0.407,0.405,0.42,0.36,0.245,0.261,0.245
5,2,0,-0.9,0.6,0.5,0.7,0.242,0.238,0.248,0.251,0.244,0.25,0.368,0.397,0.4,0.383,0.334,0.288,0.284,0.306,0.327,0.31,0.294,0.407,0.404,0.376,0.392,0.234,0.281,0.299
6,3,0,2.3,1.0,0.44,0.73,0.231,0.278,0.262,0.271,0.252,0.257,0.384,0.394,0.375,0.364,0.335,0.33,0.338,0.311,0.297,0.355,0.33,0.445,0.41,0.44,0.44,0.27,0.302,0.318
7,4,0,1.8,0.2,0.78,0.79,0.227,0.282,0.236,0.266,0.292,0.255,0.371,0.34,0.337,0.379,0.314,0.309,0.336,0.355,0.347,0.322,0.321,0.402,0.437,0.423,0.411,0.305,0.274,0.274
8,5,0,-1.3,2.6,0.53,0.76,0.416,0.444,0.439,0.417,0.412,0.446,0.648,0.651,0.676,0.633,0.533,0.534,0.529,0.521,0.512,0.529,0.525,0.688,0.708,0.717,0.697,0.483,0.491,0.522
9,6,1,-3.1,0.1,0.11,0.65,0.33,0.303,0.318,0.275,0.288,0.298,0.385,0.45,0.444,0.483,0.333,0.342,0.373,0.358,0.392,0.358,0.327,0.475,0.463,0.485,0.472,0.334,0.358,0.315
10,7,1,3.0,0.4,0.54,0.69,0.321,0.306,0.299,0.331,0.349,0.339,0.503,0.494,0.483,0.51,0.422,0.41,0.44,0.39,0.425,0.433,0.387,0.565,0.563,0.558,0.53,0.33,0.356,0.351
11,1,0,-2.3,0.3,0.92,0.64,0.326,0.289,0.286,0.355,0.279,0.328,0.509,0.491,0.467,0.489,0.371,0.385,0.399,0.408,0.387,0.352,0.39,0.511,0.493,0.537,0.529,0.358,0.364,0.391
12,2,0,1.6,1.5,0.51,0.54,0.262,0.27,0.247,0.252,0.211,0.238,0.373,0.337,0.342,0.367,0.316,0.298,0.291,0.299,0.361,0.295,0.303,0.429,0.396,0.383,0.412,0.278,0.271,0.277
